hora,temperatura,umidade,pto_orvalho,pressao,radiacao,vento
0,23.8,72.0,18.6,955.4,-3.54,1.2
1,NaN,70.0,18.0,955.7,-3.48,0.9
2,22.8,77.0,18.5,955.7,-3.54,0.6
3,23.0,76.0,18.6,955.4,-3.54,1.0
4,21.9,83.0,18.9,954.8,-3.54,0.0
5,21.4,87.0,19.0,954.2,-3.54,0.3
6,21.0,87.0,18.8,954.4,-3.54,0.2
7,20.5,90.0,18.8,954.4,-3.54,0.0
8,20.6,90.0,18.8,954.8,-3.54,0.0
9,21.2,86.0,18.7,955.4,56.23,1.3
10,25.7,71.0,20.1,956.0,817.2,0.0
11,27.7,60.0,19.2,NaN,1781.0,1.8
12,29.4,44.0,16.1,NaN,2147.0,1.1
13,31.3,40.0,16.1,NaN,3368.0,1.5
14,31.5,35.0,14.1,NaN,3174.0,2.1
15,32.1,34.0,14.1,NaN,4055.0,2.2
16,34.7,34.0,16.3,NaN,3640.0,1.6
17,NaN,34.0,15.3,NaN,2945.0,3.1
18,32.5,36.0,15.5,NaN,2425.0,2.0
19,23.8,79.0,19.8,954.0,198.9,2.4
20,NaN,86.0,21.2,953.8,141.0,1.3
21,24.0,84.0,21.2,953.9,126.8,1.1
22,24.2,79.0,20.3,954.6,0.9420000000000001,0.8
23,NaN,NaN,NaN,NaN,NaN,NaN
0,26.0,63.0,18.5,955.8,-2.39,2.2
1,24.5,74.0,19.5,956.2,-1.87,0.8
2,NaN,73.0,19.7,956.2,-3.27,0.7
3,NaN,80.0,20.5,955.4,-3.19,0.0
4,23.8,80.0,20.1,955.1,-3.06,0.0
5,23.7,81.0,20.3,954.6,-3.34,0.8
6,23.5,84.0,20.5,954.3,-3.16,0.0
7,23.1,87.0,20.9,954.8,-3.46,0.0
8,23.3,83.0,20.4,954.8,-3.27,0.7
9,23.5,83.0,20.5,955.1,75.13,0.0
10,25.1,78.0,21.0,955.8,412.7,0.0
11,27.0,71.0,21.2,956.3,905.0,0.1
12,28.4,61.0,20.1,956.2,1354.0,0.9
13,30.5,49.0,18.6,955.7,3003.0,1.1
14,30.6,45.0,17.5,955.2,1956.0,1.2
15,32.2,40.0,16.7,954.1,3389.0,1.0
16,33.0,40.0,17.4,952.8,1968.0,1.3
17,29.9,53.0,19.3,951.8,1168.0,2.4
18,32.4,50.0,20.5,950.6,1343.0,0.2
19,29.2,57.0,19.9,950.8,1509.0,2.1
20,28.3,56.0,18.8,950.9,506.7,1.1
21,27.7,63.0,20.0,950.8,141.7,0.0
22,26.7,70.0,20.7,952.0,-3.46,0.2
23,NaN,62.0,19.2,953.0,-3.29,2.2
0,26.1,65.0,19.0,953.7,-3.12,1.4
1,25.8,66.0,18.9,954.3,-3.36,2.3
2,24.9,69.0,18.9,953.7,-3.35,4.5
3,23.6,77.0,19.3,953.0,-3.49,2.2
4,NaN,85.0,20.2,952.1,-3.53,0.6
5,22.4,89.0,20.4,951.3,-3.43,0.1
6,NaN,87.0,20.2,951.1,-2.64,0.5
7,22.8,84.0,20.0,952.3,-2.8,1.5
8,22.2,88.0,20.1,952.5,-3.07,0.0
9,22.9,84.0,20.2,952.9,48.61,0.1
10,23.3,84.0,20.5,953.9,360.2,1.9
11,24.6,75.0,19.9,955.3,874.7,3.0
12,25.5,71.0,19.8,955.6,742.9,0.6
13,NaN,68.0,20.2,955.2,857.0,0.8
14,26.4,70.0,20.4,954.4,746.2,0.8
15,26.4,68.0,20.0,953.6,1014.0,0.6
16,28.6,61.0,20.3,952.4,2094.0,2.0
17,30.3,57.0,20.8,951.3,2249.0,1.4
18,NaN,58.0,20.3,950.3,1855.0,0.4
19,29.5,57.0,20.2,949.6,1582.0,1.3
20,29.4,58.0,20.3,949.4,480.1,1.2
21,NaN,63.0,20.6,949.5,230.5,0.4
22,26.9,66.0,20.0,950.3,-3.54,0.0
23,25.6,75.0,20.9,951.4,-3.54,1.2
0,24.6,78.0,20.5,952.3,-3.54,0.0
1,24.5,81.0,20.9,953.3,-3.35,0.0
2,24.1,81.0,20.6,952.9,-3.29,0.0
3,24.0,82.0,20.7,952.4,-3.21,0.0
4,23.7,83.0,20.7,951.9,-3.36,0.0
5,23.6,84.0,20.8,951.3,-3.07,0.3
6,23.0,87.0,20.7,951.1,-3.53,0.0
7,22.7,87.0,20.4,951.4,-3.39,0.8
8,NaN,88.0,20.3,951.9,-3.54,0.3
9,23.2,84.0,20.5,952.8,70.71,0.6
10,NaN,70.0,21.4,953.2,866.1,0.1
11,28.4,65.0,21.1,953.7,944.6,0.0
12,29.3,59.0,20.6,954.0,1377.0,1.3
13,NaN,55.0,20.0,953.8,2090.0,1.7
14,31.7,50.0,20.0,953.2,3371.0,2.4
15,31.2,45.0,17.8,952.5,3407.0,2.6
16,NaN,55.0,18.9,951.5,2863.0,4.6
17,30.3,52.0,19.3,950.5,3743.0,4.3
18,NaN,61.0,19.0,950.1,2724.0,6.5
19,NaN,63.0,19.2,949.2,1459.0,5.5
20,NaN,62.0,19.3,950.8,238.7,1.1
21,NaN,61.0,18.2,951.4,19.5,0.1
22,26.0,68.0,19.6,952.2,-3.51,0.3
23,25.0,78.0,20.9,953.4,-3.53,1.0
0,24.8,80.0,21.0,954.0,-3.3,0.3
1,24.4,80.0,20.6,954.9,-3.39,1.4
2,24.1,82.0,20.8,954.9,-3.42,0.0
3,23.8,85.0,21.1,954.5,-3.53,0.4
4,23.5,90.0,21.8,954.2,-3.35,0.0
5,NaN,91.0,21.9,953.8,-3.07,0.1
6,23.3,89.0,21.4,953.4,-3.52,0.0
7,23.0,91.0,21.5,953.4,-3.52,0.1
8,23.5,82.0,20.3,953.8,-3.41,0.7
9,23.3,85.0,20.7,954.3,31.48,0.1
10,NaN,74.0,20.1,954.5,377.1,1.6
11,26.4,66.0,19.6,954.8,978.5,2.4
12,27.0,64.0,19.7,954.9,1032.0,2.0
13,30.5,56.0,20.6,955.4,2621.0,0.7
14,32.1,50.0,20.5,955.2,3358.0,1.9
15,32.2,48.0,19.8,954.5,2657.0,2.2
16,31.1,49.0,19.0,953.3,2647.0,2.3
17,24.4,83.0,21.3,953.2,450.0,3.2
18,25.8,83.0,22.7,952.4,568.9,0.8
19,27.0,80.0,23.3,952.0,1013.0,1.6
20,28.1,73.0,22.7,952.2,994.9,2.1
21,NaN,71.0,21.3,952.9,94.59,1.6
22,25.1,68.0,18.7,953.7,-3.28,5.9
23,24.5,71.0,18.9,955.1,-3.28,4.5
0,24.3,71.0,18.8,955.6,-3.06,3.0
1,23.7,74.0,18.8,955.9,-3.4,0.8
2,23.2,79.0,19.3,955.8,-3.38,0.0
3,22.9,81.0,19.5,955.5,-3.53,0.0
4,22.2,85.0,19.5,955.4,-3.54,0.5
5,21.6,87.0,19.2,955.1,-3.54,0.5
6,22.1,84.0,19.2,955.4,-3.49,0.7
7,21.6,87.0,19.4,955.5,-3.47,0.0
8,NaN,89.0,19.3,955.6,-3.53,0.1
9,21.6,88.0,19.5,956.2,58.75,0.0
10,25.1,72.0,19.8,956.6,780.1,0.0
11,26.0,67.0,19.5,957.0,1016.0,0.0
12,26.9,66.0,19.9,957.3,1460.0,0.9
13,30.5,52.0,19.7,957.2,3240.0,0.5
14,33.5,43.0,19.3,956.9,3431.0,1.5
15,NaN,39.0,17.4,956.3,3120.0,0.1
16,NaN,34.0,16.5,955.0,3483.0,1.7
17,30.8,48.0,18.4,954.4,2057.0,3.9
18,27.1,59.0,18.3,954.5,287.1,0.9
19,26.5,68.0,20.1,953.7,277.7,1.0
20,28.7,57.0,19.4,953.6,860.1,0.5
21,27.0,65.0,19.8,953.9,174.0,0.0
22,25.8,72.0,20.4,954.1,-3.54,0.6
23,24.9,76.0,20.5,954.8,-3.54,0.0
0,24.6,75.0,19.8,954.8,-3.54,0.8
1,24.0,77.0,19.8,955.4,-3.54,0.2
2,23.2,80.0,19.6,955.1,-3.54,0.0
3,22.4,84.0,19.5,953.8,-3.54,0.0
4,22.1,84.0,19.2,953.1,-3.54,0.0
5,22.1,82.0,19.0,952.9,-3.52,0.0
6,21.5,82.0,18.2,952.8,-3.54,0.0
7,21.3,82.0,18.1,953.0,-3.54,0.0
8,21.5,80.0,17.9,953.6,-3.54,0.0
9,22.3,80.0,18.7,954.1,84.14,0.0
10,26.5,67.0,19.8,954.5,726.8,0.1
11,29.5,57.0,20.1,954.6,1803.0,0.5
12,33.1,36.0,16.0,954.5,2611.0,1.6
13,33.7,37.0,16.8,953.6,3270.0,1.0
14,34.5,31.0,15.1,952.9,3713.0,1.2
